City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,harstad,68.799,16.5293,281.83,96,100,6.71,NO,1715549709
230,luwuk,-0.9516,122.7875,295.7,93,59,2.29,ID,1715549709
231,alofi,-19.0595,-169.9187,299.09,73,75,7.72,NU,1715549709
232,kristiansund,63.1115,7.732,288.18,76,100,1.03,NO,1715549710
233,serhetabat,35.2799,62.3438,292.42,35,0,2.14,TM,1715549710
234,mary,37.0,62.5,294.81,37,0,4.95,TM,1715549710
235,juneau,58.3019,-134.4197,281.16,95,100,4.63,US,1715549506
236,afaahiti,-17.75,-149.2833,302.08,83,29,6.31,PF,1715549710
237,saint-pierre,-21.3393,55.4781,295.97,73,20,2.06,RE,1715549711
238,new plymouth,-39.0667,174.0833,288.04,93,75,1.36,NZ,1715549464
239,gamba,-2.65,10.0,299.11,93,100,2.23,GA,1715549711
240,prado,-17.3411,-39.2208,298.48,78,1,3.62,BR,1715549711
241,holualoa,19.6228,-155.9522,299.06,70,40,5.66,US,1715549711
242,halifax,44.6453,-63.5724,285.64,62,100,3.09,CA,1715549708
243,ndikinimeki,4.7667,10.8333,294.75,99,100,1.06,CM,1715549712
244,kapuskasing,49.4169,-82.4331,284.2,76,100,7.72,CA,1715549712
245,puerto baquerizo moreno,-0.9,-89.6,299.7,74,40,6.17,EC,1715549712
246,portland,45.5234,-122.6762,301.29,41,0,2.68,US,1715549650
247,hanzhong,33.0728,107.0303,289.19,81,0,0.78,CN,1715549713
248,yoloten,37.2989,62.3597,295.04,37,3,5.32,TM,1715549713
249,okulovka,58.4008,33.2908,274.73,88,32,1.33,RU,1715549713
250,puerto escondido,15.85,-97.0667,304.61,45,0,3.09,MX,1715549713
251,qaqortoq,60.7167,-46.0333,274.4,88,16,0.85,GL,1715549713
252,salalah,17.0151,54.0924,303.2,74,75,3.09,OM,1715549714
253,beaumont,30.0861,-94.1019,300.17,82,100,5.66,US,1715549582
254,lang son,21.8333,106.7333,294.45,95,98,2.28,VN,1715549714
255,east london,-33.0153,27.9116,289.89,79,86,2.82,ZA,1715549714
256,six-fours-les-plages,43.0938,5.84,292.83,75,72,3.04,FR,1715549715
257,coos bay,43.3665,-124.2179,296.66,82,0,9.26,US,1715549517
258,kuanda,56.3161,116.0806,279.0,73,45,4.99,RU,1715549715
259,thief river falls,48.1191,-96.1812,293.68,40,10,7.81,US,1715549715
260,weno,7.4515,151.8468,302.12,84,100,2.06,FM,1715549715
261,wenling,28.3669,121.36,288.5,78,100,2.19,CN,1715549716
262,kabala,9.5833,-11.55,296.17,89,97,1.78,SL,1715549716
